or_minutes,breakout_type,variant,month,trades,total_r,average_r,win_rate
30,CLOSE,30m CLOSE,2025-05,21,3.691602543969849,0.17579059733189759,0.42857142857142855
5,PRINT,5m PRINT,2025-06,16,-10.0,-0.625,0.125
5,CLOSE,5m CLOSE,2025-06,17,-8.0,-0.47058823529411764,0.17647058823529413
10,PRINT,10m PRINT,2025-06,17,-8.0,-0.47058823529411764,0.17647058823529413
10,CLOSE,10m CLOSE,2025-06,17,-2.0,-0.11764705882352941,0.29411764705882354
15,PRINT,15m PRINT,2025-06,17,-5.0,-0.29411764705882354,0.23529411764705882
15,CLOSE,15m CLOSE,2025-06,17,-5.0,-0.29411764705882354,0.23529411764705882
30,PRINT,30m PRINT,2025-06,15,0.0,0.0,0.3333333333333333
30,CLOSE,30m CLOSE,2025-06,15,-2.101351351351351,-0.14009009009009005,0.26666666666666666
5,PRINT,5m PRINT,2025-07,23,1.0,0.043478260869565216,0.34782608695652173
5,CLOSE,5m CLOSE,2025-07,23,4.0,0.17391304347826086,0.391304347826087
10,PRINT,10m PRINT,2025-07,22,8.0,0.36363636363636365,0.45454545454545453
10,CLOSE,10m CLOSE,2025-07,23,7.0,0.30434782608695654,0.43478260869565216
15,PRINT,15m PRINT,2025-07,22,5.903743315508022,0.26835196888672824,0.4090909090909091
15,CLOSE,15m CLOSE,2025-07,23,3.4696088794926006,0.15085255997793914,0.391304347826087
30,PRINT,30m PRINT,2025-07,23,-1.5613142062695946,-0.06788322635954759,0.34782608695652173
30,CLOSE,30m CLOSE,2025-07,22,-1.896799836355271,-0.08621817437978505,0.36363636363636365
5,PRINT,5m PRINT,2025-08,20,10.0,0.5,0.5
5,CLOSE,5m CLOSE,2025-08,21,6.0,0.2857142857142857,0.42857142857142855
10,PRINT,10m PRINT,2025-08,21,6.0,0.2857142857142857,0.42857142857142855
10,CLOSE,10m CLOSE,2025-08,21,6.0,0.2857142857142857,0.42857142857142855
15,PRINT,15m PRINT,2025-08,21,-3.0,-0.14285714285714285,0.2857142857142857
15,CLOSE,15m CLOSE,2025-08,21,-1.2653970696675323,-0.060257003317501535,0.3333333333333333
30,PRINT,30m PRINT,2025-08,20,3.735984293607598,0.1867992146803799,0.5
30,CLOSE,30m CLOSE,2025-08,20,8.038027395211572,0.40190136976057855,0.6
5,PRINT,5m PRINT,2025-09,18,2.5,0.1388888888888889,0.3888888888888889
5,CLOSE,5m CLOSE,2025-09,18,5.428571428571429,0.3015873015873016,0.4444444444444444
10,PRINT,10m PRINT,2025-09,18,2.3055555555555554,0.1280864197530864,0.3888888888888889
10,CLOSE,10m CLOSE,2025-09,18,2.024390243902439,0.11246612466124661,0.3888888888888889
15,PRINT,15m PRINT,2025-09,18,-1.074074074074074,-0.05967078189300411,0.3333333333333333
15,CLOSE,15m CLOSE,2025-09,18,-1.1860465116279069,-0.06589147286821705,0.3333333333333333
30,PRINT,30m PRINT,2025-09,16,-2.6990291262135924,-0.16868932038834952,0.3125
30,CLOSE,30m CLOSE,2025-09,16,-2.723809523809524,-0.17023809523809524,0.3125
5,PRINT,5m PRINT,2025-10,21,6.0,0.2857142857142857,0.42857142857142855
5,CLOSE,5m CLOSE,2025-10,23,-8.0,-0.34782608695652173,0.21739130434782608
10,PRINT,10m PRINT,2025-10,22,-10.0,-0.45454545454545453,0.18181818181818182
10,CLOSE,10m CLOSE,2025-10,23,-11.0,-0.4782608695652174,0.17391304347826086
15,PRINT,15m PRINT,2025-10,23,-14.0,-0.6086956521739131,0.13043478260869565
15,CLOSE,15m CLOSE,2025-10,22,-4.0,-0.18181818181818182,0.2727272727272727
30,PRINT,30m PRINT,2025-10,21,-2.220228982227252,-0.10572518962986914,0.3333333333333333
30,CLOSE,30m CLOSE,2025-10,21,0.6317093903300801,0.030081399539527626,0.38095238095238093
5,PRINT,5m PRINT,2025-11,18,12.0,0.6666666666666666,0.5555555555555556
5,CLOSE,5m CLOSE,2025-11,20,1.9302325581395348,0.09651162790697673,0.35
10,PRINT,10m PRINT,2025-11,20,7.0,0.35,0.45
10,CLOSE,10m CLOSE,2025-11,20,7.0,0.35,0.45
15,PRINT,15m PRINT,2025-11,20,4.0,0.2,0.4
15,CLOSE,15m CLOSE,2025-11,19,4.969029533019146,0.26152787015890244,0.42105263157894735
30,PRINT,30m PRINT,2025-11,20,-3.7652621393373,-0.188263106966865,0.35
30,CLOSE,30m CLOSE,2025-11,18,-5.381007110775874,-0.2989448394875486,0.3333333333333333
5,PRINT,5m PRINT,2025-12,18,-3.0,-0.16666666666666666,0.2777777777777778
5,CLOSE,5m CLOSE,2025-12,18,0.0,0.0,0.3333333333333333
10,PRINT,10m PRINT,2025-12,18,-9.0,-0.5,0.16666666666666666
10,CLOSE,10m CLOSE,2025-12,17,-2.6570708661417326,-0.15629828624363132,0.29411764705882354
15,PRINT,15m PRINT,2025-12,18,-1.86663873760648,-0.10370215208924888,0.3333333333333333
15,CLOSE,15m CLOSE,2025-12,17,-1.657018264693579,-0.09747166262903406,0.35294117647058826
30,PRINT,30m PRINT,2025-12,18,-3.204301075268817,-0.17801672640382316,0.2777777777777778
30,CLOSE,30m CLOSE,2025-12,16,-2.5534684149976306,-0.1595917759373519,0.3125
5,PRINT,5m PRINT,2026-01,20,4.0,0.2,0.4
5,CLOSE,5m CLOSE,2026-01,21,3.0,0.14285714285714285,0.38095238095238093
10,PRINT,10m PRINT,2026-01,21,8.77610257664045,0.41790964650668816,0.47619047619047616
10,CLOSE,10m CLOSE,2026-01,21,-0.7339978753093708,-0.0349522797766367,0.38095238095238093
15,PRINT,15m PRINT,2026-01,21,6.077769565574444,0.2894175983606878,0.47619047619047616
15,CLOSE,15m CLOSE,2026-01,21,4.536861716851693,0.2160410341357949,0.47619047619047616
30,PRINT,30m PRINT,2026-01,21,1.8911557030058943,0.09005503347647116,0.42857142857142855
30,CLOSE,30m CLOSE,2026-01,21,-4.4788689793544165,-0.21327947520735316,0.3333333333333333
5,PRINT,5m PRINT,2026-02,19,11.0,0.5789473684210527,0.5263157894736842
5,CLOSE,5m CLOSE,2026-02,20,10.0,0.5,0.5
10,PRINT,10m PRINT,2026-02,20,13.0,0.65,0.55
10,CLOSE,10m CLOSE,2026-02,20,11.961409395973154,0.5980704697986577,0.55
15,PRINT,15m PRINT,2026-02,20,10.09456098870147,0.5047280494350735,0.55
15,CLOSE,15m CLOSE,2026-02,20,8.82845498568676,0.441422749284338,0.55
30,PRINT,30m PRINT,2026-02,20,9.655768224801811,0.48278841124009053,0.6
30,CLOSE,30m CLOSE,2026-02,19,5.990090403082062,0.3152679159516875,0.5789473684210527
5,PRINT,5m PRINT,2026-03,18,-6.0,-0.3333333333333333,0.2222222222222222
5,CLOSE,5m CLOSE,2026-03,18,-6.698039215686275,-0.3721132897603486,0.2222222222222222
10,PRINT,10m PRINT,2026-03,18,-1.0303571428571425,-0.057242063492063476,0.3333333333333333
10,CLOSE,10m CLOSE,2026-03,18,-7.111301369863014,-0.395072298325723,0.2222222222222222
15,PRINT,15m PRINT,2026-03,18,-4.030357142857142,-0.22390873015873008,0.2777777777777778
15,CLOSE,15m CLOSE,2026-03,18,-4.111301369863014,-0.22840563165905634,0.2777777777777778
30,PRINT,30m PRINT,2026-03,18,-7.1686541737649065,-0.3982585652091615,0.2222222222222222
30,CLOSE,30m CLOSE,2026-03,17,-6.3486943164362515,-0.37345260684919124,0.23529411764705882
5,PRINT,5m PRINT,2026-04,21,0.0,0.0,0.3333333333333333
5,CLOSE,5m CLOSE,2026-04,21,-3.0,-0.14285714285714285,0.2857142857142857
10,PRINT,10m PRINT,2026-04,21,-6.0,-0.2857142857142857,0.23809523809523808
10,CLOSE,10m CLOSE,2026-04,21,-8.023598820058996,-0.38207613428852366,0.19047619047619047
15,PRINT,15m PRINT,2026-04,21,0.0,0.0,0.3333333333333333
15,CLOSE,15m CLOSE,2026-04,21,-6.985475652903571,-0.3326416977573129,0.23809523809523808
30,PRINT,30m PRINT,2026-04,20,4.815508021390375,0.24077540106951875,0.4
30,CLOSE,30m CLOSE,2026-04,19,3.7832794868193105,0.19911997299049003,0.3684210526315789
5,PRINT,5m PRINT,2026-05,21,3.0,0.14285714285714285,0.38095238095238093
5,CLOSE,5m CLOSE,2026-05,21,4.815476190476191,0.22930839002267575,0.42857142857142855
10,PRINT,10m PRINT,2026-05,21,-4.168253968253968,-0.1984882842025699,0.2857142857142857
10,CLOSE,10m CLOSE,2026-05,21,-11.301680824631502,-0.5381752773634049,0.19047619047619047
15,PRINT,15m PRINT,2026-05,21,-11.597443461160275,-0.5522592124362036,0.19047619047619047
15,CLOSE,15m CLOSE,2026-05,21,-12.651784653875364,-0.6024659358988268,0.19047619047619047
30,PRINT,30m PRINT,2026-05,21,-2.755984986143962,-0.13123738029256962,0.3333333333333333
30,CLOSE,30m CLOSE,2026-05,21,1.9752926930498087,0.09406155681189565,0.42857142857142855
5,PRINT,5m PRINT,2026-06,17,-2.0,-0.11764705882352941,0.29411764705882354
5,CLOSE,5m CLOSE,2026-06,17,1.0,0.058823529411764705,0.35294117647058826
10,PRINT,10m PRINT,2026-06,17,1.0,0.058823529411764705,0.35294117647058826
10,CLOSE,10m CLOSE,2026-06,17,1.0,0.058823529411764705,0.35294117647058826
15,PRINT,15m PRINT,2026-06,17,-0.9977924944812364,-0.05869367614595508,0.35294117647058826
15,CLOSE,15m CLOSE,2026-06,17,-1.4912672866868801,-0.08772160509922824,0.29411764705882354
30,PRINT,30m PRINT,2026-06,15,-4.927740296518407,-0.3285160197678938,0.26666666666666666
30,CLOSE,30m CLOSE,2026-06,15,-5.111157298063297,-0.3407438198708865,0.26666666666666666
5,PRINT,5m PRINT,2026-07,21,-1.8136645962732922,-0.08636498077491868,0.3333333333333333
5,CLOSE,5m CLOSE,2026-07,23,1.9794871794871796,0.08606465997770346,0.34782608695652173
10,PRINT,10m PRINT,2026-07,23,2.1863354037267078,0.09505806103159599,0.391304347826087
10,CLOSE,10m CLOSE,2026-07,23,1.9794871794871796,0.08606465997770346,0.34782608695652173
15,PRINT,15m PRINT,2026-07,23,5.186335403726708,0.22549284364029165,0.43478260869565216
15,CLOSE,15m CLOSE,2026-07,23,-1.904142696684204,-0.08278881289931322,0.30434782608695654
30,PRINT,30m PRINT,2026-07,22,-11.575402635431917,-0.5261546652469054,0.18181818181818182
30,CLOSE,30m CLOSE,2026-07,22,-13.444213817777223,-0.6111006280807829,0.18181818181818182
5,PRINT,5m PRINT,2026-08,9,0.0,0.0,0.3333333333333333
5,CLOSE,5m CLOSE,2026-08,10,2.0,0.2,0.4
10,PRINT,10m PRINT,2026-08,10,2.0,0.2,0.4
10,CLOSE,10m CLOSE,2026-08,10,2.0,0.2,0.4
15,PRINT,15m PRINT,2026-08,10,0.2025862068965516,0.02025862068965516,0.4
15,CLOSE,15m CLOSE,2026-08,10,3.0429906542056075,0.30429906542056073,0.5
30,PRINT,30m PRINT,2026-08,9,4.7364779874213845,0.5262753319357094,0.5555555555555556
30,CLOSE,30m CLOSE,2026-08,9,4.280208715947422,0.47557874621638024,0.5555555555555556
